Date,Workout_Split,Exercise,Sets,Reps,Weight_kg,RPE,Duration_min
2023-02-26,Chest/Triceps,Tricep Extension,3,13,17.5,6,58
2023-02-28,Back/Biceps,Deadlift,3,5,92.5,10,84
2023-02-28,Back/Biceps,Pull-ups,4,8,0,10,84
2023-02-28,Back/Biceps,Barbell Curl,3,8,27.5,9,84
2023-03-02,Legs/Shoulders,Squat,4,5,80.0,10,46
2023-03-02,Legs/Shoulders,Leg Press,3,12,137.5,6,46
2023-03-02,Legs/Shoulders,Overhead Press,4,6,37.5,7,46
2023-03-05,Chest/Triceps,Bench Press,4,5,70.0,9,70
2023-03-05,Chest/Triceps,Incline DB Press,3,10,25.0,8,70
2023-03-05,Chest/Triceps,Tricep Extension,3,12,20.0,8,70
2023-03-07,Back/Biceps,Deadlift,3,5,95.0,7,58
2023-03-07,Back/Biceps,Pull-ups,4,10,0,9,58
2023-03-07,Back/Biceps,Barbell Curl,3,12,30.0,10,58
2023-03-09,Legs/Shoulders,Squat,4,7,82.5,7,71
2023-03-09,Legs/Shoulders,Leg Press,3,10,140.0,8,71
2023-03-09,Legs/Shoulders,Overhead Press,4,8,42.5,6,71
2023-03-12,Chest/Triceps,Bench Press,4,7,70.0,10,75
2023-03-12,Chest/Triceps,Incline DB Press,3,9,27.5,8,75
2023-03-12,Chest/Triceps,Tricep Extension,3,10,17.5,9,75
2023-03-14,Back/Biceps,Deadlift,3,5,97.5,8,57
2023-03-14,Back/Biceps,Pull-ups,4,6,0,10,57
2023-03-14,Back/Biceps,Barbell Curl,3,11,27.5,8,57
2023-03-16,Legs/Shoulders,Squat,4,7,82.5,9,64
2023-03-16,Legs/Shoulders,Leg Press,3,14,140.0,7,64
2023-03-16,Legs/Shoulders,Overhead Press,4,9,40.0,7,64
2023-03-19,Chest/Triceps,Bench Press,4,7,70.0,8,83
2023-03-19,Chest/Triceps,Incline DB Press,3,12,27.5,8,83
2023-03-19,Chest/Triceps,Tricep Extension,3,11,15.0,7,83
2023-03-21,Back/Biceps,Deadlift,3,5,95.0,10,90
2023-03-21,Back/Biceps,Pull-ups,4,8,0,7,90
2023-03-21,Back/Biceps,Barbell Curl,3,12,32.5,6,90
2023-03-23,Legs/Shoulders,Squat,4,7,85.0,10,55
2023-03-23,Legs/Shoulders,Leg Press,3,10,140.0,10,55
2023-03-23,Legs/Shoulders,Overhead Press,4,6,40.0,7,55
2023-03-26,Chest/Triceps,Bench Press,4,6,72.5,9,82
2023-03-26,Chest/Triceps,Incline DB Press,3,11,27.5,10,82
2023-03-26,Chest/Triceps,Tricep Extension,3,14,20.0,10,82
2023-03-28,Back/Biceps,Deadlift,3,5,100.0,9,64
2023-03-28,Back/Biceps,Pull-ups,4,11,0,10,64
2023-03-28,Back/Biceps,Barbell Curl,3,10,27.5,10,64
2023-03-30,Legs/Shoulders,Squat,4,6,85.0,10,54
2023-03-30,Legs/Shoulders,Leg Press,3,12,145.0,10,54
2023-03-30,Legs/Shoulders,Overhead Press,4,7,42.5,10,54
2023-04-02,Chest/Triceps,Bench Press,4,8,72.5,9,84
2023-04-02,Chest/Triceps,Incline DB Press,3,10,25.0,9,84
2023-04-02,Chest/Triceps,Tricep Extension,3,10,17.5,8,84
2023-04-04,Back/Biceps,Deadlift,3,5,100.0,10,81
2023-04-04,Back/Biceps,Pull-ups,4,8,0,8,81
2023-04-04,Back/Biceps,Barbell Curl,3,11,30.0,10,81
2023-04-06,Legs/Shoulders,Squat,4,8,85.0,8,48
2023-04-06,Legs/Shoulders,Leg Press,3,14,145.0,9,48
2023-04-06,Legs/Shoulders,Overhead Press,4,7,40.0,7,48
2023-04-09,Chest/Triceps,Bench Press,4,6,75.0,6,67
2023-04-09,Chest/Triceps,Incline DB Press,3,12,27.5,6,67
2023-04-09,Chest/Triceps,Tricep Extension,3,14,20.0,10,67
2023-04-11,Back/Biceps,Deadlift,3,5,100.0,10,62
2023-04-11,Back/Biceps,Pull-ups,4,7,0,7,62
2023-04-11,Back/Biceps,Barbell Curl,3,9,32.5,10,62
2023-04-13,Legs/Shoulders,Squat,4,7,90.0,10,57
2023-04-13,Legs/Shoulders,Leg Press,3,10,147.5,10,57
2023-04-13,Legs/Shoulders,Overhead Press,4,8,40.0,10,57
2023-04-16,Chest/Triceps,Bench Press,4,7,77.5,8,89
2023-04-16,Chest/Triceps,Incline DB Press,3,12,27.5,10,89
2023-04-16,Chest/Triceps,Tricep Extension,3,14,20.0,6,89
2023-04-18,Back/Biceps,Deadlift,3,5,102.5,7,75
2023-04-18,Back/Biceps,Pull-ups,4,10,0,10,75
2023-04-18,Back/Biceps,Barbell Curl,3,11,32.5,9,75
2023-04-20,Legs/Shoulders,Squat,4,5,87.5,10,55
2023-04-20,Legs/Shoulders,Leg Press,3,10,150.0,7,55
2023-04-20,Legs/Shoulders,Overhead Press,4,7,45.0,9,55
2023-04-23,Chest/Triceps,Bench Press,4,5,75.0,10,49
2023-04-23,Chest/Triceps,Incline DB Press,3,12,30.0,6,49
2023-04-23,Chest/Triceps,Tricep Extension,3,13,20.0,8,49
2023-04-25,Back/Biceps,Deadlift,3,5,102.5,7,68
2023-04-25,Back/Biceps,Pull-ups,4,6,0,10,68
2023-04-25,Back/Biceps,Barbell Curl,3,8,32.5,10,68
2023-04-27,Legs/Shoulders,Squat,4,8,92.5,8,79
2023-04-27,Legs/Shoulders,Leg Press,3,10,150.0,7,79
2023-04-27,Legs/Shoulders,Overhead Press,4,10,42.5,10,79
2023-04-30,Chest/Triceps,Bench Press,4,6,77.5,9,45
2023-04-30,Chest/Triceps,Incline DB Press,3,12,27.5,8,45
2023-04-30,Chest/Triceps,Tricep Extension,3,10,20.0,9,45
2023-05-02,Back/Biceps,Deadlift,3,5,105.0,10,47
2023-05-02,Back/Biceps,Pull-ups,4,10,0,9,47
2023-05-02,Back/Biceps,Barbell Curl,3,12,32.5,10,47
2023-05-04,Legs/Shoulders,Squat,4,6,92.5,6,82
2023-05-04,Legs/Shoulders,Leg Press,3,12,155.0,7,82
2023-05-04,Legs/Shoulders,Overhead Press,4,8,45.0,7,82
2023-05-07,Chest/Triceps,Bench Press,4,5,77.5,8,66
2023-05-07,Chest/Triceps,Incline DB Press,3,8,32.5,8,66
2023-05-07,Chest/Triceps,Tricep Extension,3,10,22.5,7,66
2023-05-09,Back/Biceps,Deadlift,3,5,110.0,6,45
2023-05-09,Back/Biceps,Pull-ups,4,6,0,8,45
2023-05-09,Back/Biceps,Barbell Curl,3,11,32.5,7,45
2023-05-11,Legs/Shoulders,Squat,4,6,92.5,7,51
2023-05-11,Legs/Shoulders,Leg Press,3,10,155.0,10,51
2023-05-11,Legs/Shoulders,Overhead Press,4,8,42.5,7,51
2023-05-14,Chest/Triceps,Bench Press,4,6,77.5,7,67
2023-05-14,Chest/Triceps,Incline DB Press,3,12,27.5,9,67
2023-05-14,Chest/Triceps,Tricep Extension,3,15,17.5,10,67
2023-05-16,Back/Biceps,Deadlift,3,5,107.5,10,73
2023-05-16,Back/Biceps,Pull-ups,4,9,0,10,73
2023-05-16,Back/Biceps,Barbell Curl,3,11,35.0,7,73
2023-05-18,Legs/Shoulders,Squat,4,8,92.5,8,77
2023-05-18,Legs/Shoulders,Leg Press,3,11,157.5,10,77
2023-05-18,Legs/Shoulders,Overhead Press,4,6,45.0,7,77
2023-05-21,Chest/Triceps,Bench Press,4,5,80.0,10,53
2023-05-21,Chest/Triceps,Incline DB Press,3,9,30.0,8,53
2023-05-21,Chest/Triceps,Tricep Extension,3,11,22.5,6,53
2023-05-23,Back/Biceps,Deadlift,3,5,110.0,8,57
2023-05-23,Back/Biceps,Pull-ups,4,7,0,9,57
2023-05-23,Back/Biceps,Barbell Curl,3,9,35.0,10,57
2023-05-25,Legs/Shoulders,Squat,4,7,95.0,10,79
2023-05-25,Legs/Shoulders,Leg Press,3,12,160.0,8,79
2023-05-25,Legs/Shoulders,Overhead Press,4,7,42.5,9,79
2023-05-28,Chest/Triceps,Bench Press,4,7,77.5,9,52
2023-05-28,Chest/Triceps,Incline DB Press,3,12,32.5,10,52
2023-05-28,Chest/Triceps,Tricep Extension,3,11,20.0,8,52
2023-05-30,Back/Biceps,Deadlift,3,5,112.5,6,64
2023-05-30,Back/Biceps,Pull-ups,4,11,0,8,64
2023-05-30,Back/Biceps,Barbell Curl,3,12,35.0,7,64
2023-06-01,Legs/Shoulders,Squat,4,8,95.0,10,78
2023-06-01,Legs/Shoulders,Leg Press,3,11,162.5,8,78
2023-06-01,Legs/Shoulders,Overhead Press,4,8,45.0,7,78
2023-06-04,Chest/Triceps,Bench Press,4,6,82.5,9,72
2023-06-04,Chest/Triceps,Incline DB Press,3,12,30.0,8,72
2023-06-04,Chest/Triceps,Tricep Extension,3,11,20.0,10,72
2023-06-06,Back/Biceps,Deadlift,3,5,112.5,10,48
2023-06-06,Back/Biceps,Pull-ups,4,10,0,10,48
2023-06-06,Back/Biceps,Barbell Curl,3,8,35.0,10,48
2023-06-08,Legs/Shoulders,Squat,4,5,95.0,8,67
2023-06-08,Legs/Shoulders,Leg Press,3,12,165.0,6,67
2023-06-08,Legs/Shoulders,Overhead Press,4,7,47.5,9,67
2023-06-11,Chest/Triceps,Bench Press,4,5,85.0,10,70
2023-06-11,Chest/Triceps,Incline DB Press,3,8,32.5,6,70
2023-06-11,Chest/Triceps,Tricep Extension,3,11,20.0,10,70
2023-06-13,Back/Biceps,Deadlift,3,5,115.0,9,73
2023-06-13,Back/Biceps,Pull-ups,4,11,0,7,73
2023-06-13,Back/Biceps,Barbell Curl,3,8,37.5,8,73
2023-06-15,Legs/Shoulders,Squat,4,8,100.0,10,73
2023-06-15,Legs/Shoulders,Leg Press,3,10,165.0,9,73
2023-06-15,Legs/Shoulders,Overhead Press,4,10,45.0,10,73
2023-06-18,Chest/Triceps,Bench Press,4,7,82.5,9,79
2023-06-18,Chest/Triceps,Incline DB Press,3,8,32.5,10,79
2023-06-18,Chest/Triceps,Tricep Extension,3,15,22.5,9,79
2023-06-20,Back/Biceps,Deadlift,3,5,117.5,8,72
2023-06-20,Back/Biceps,Pull-ups,4,7,0,9,72
2023-06-20,Back/Biceps,Barbell Curl,3,9,40.0,8,72
2023-06-22,Legs/Shoulders,Squat,4,5,97.5,7,89
2023-06-22,Legs/Shoulders,Leg Press,3,15,170.0,8,89
2023-06-22,Legs/Shoulders,Overhead Press,4,6,47.5,9,89
2023-06-25,Chest/Triceps,Bench Press,4,8,85.0,8,89
2023-06-25,Chest/Triceps,Incline DB Press,3,9,32.5,8,89
2023-06-25,Chest/Triceps,Tricep Extension,3,12,22.5,7,89
2023-06-27,Back/Biceps,Deadlift,3,5,117.5,10,70
2023-06-27,Back/Biceps,Pull-ups,4,11,0,7,70
2023-06-27,Back/Biceps,Barbell Curl,3,8,37.5,8,70
2023-06-29,Legs/Shoulders,Squat,4,7,100.0,10,63
2023-06-29,Legs/Shoulders,Leg Press,3,13,170.0,6,63
2023-06-29,Legs/Shoulders,Overhead Press,4,10,50.0,8,63
